Quant,Location,Status,Install Date,Allocated To,Notes
442,Napaskiak,Installed,8/9/2023,,Needs taken down – No service
443,Fairbanks – Ncore,Installed,11/20/2023,,Permanent pod
444,Tok,Installed,10/26/2023,,Tok Community Library
445,Badger,Installed,3/21/2024,,Badger Rd DoT Station / Utility Pole
446,Galena,Installed,9/27/2023,,Louden Tribe
447,Delta Junction,Installed,11/2/2023,,Delta Junction Public Library
448,Goldstream,Installed,2/20/2024,,Goldstream Sports Building
449,Ketchikan,Installed,1/31/2024,,Ketchikan Indian Community
450,Haines,Installed,1/30/2024,,Chilkoot Indian Association
451,Wrangell,Installed,2/1/2024,,Wrangell Public Library
452,Hoonah,Installed,1/30/2024,,Hoonah Indian Association
453,Skagway,Installed,1/31/2024,,Skagway Traditional Council
454,Sitka,Installed,3/21/2024,,Sitka Tribe of Alaska
455,Juneau #1,Installed,1/29/2024,,5th Street
456,Juneau #2,Installed,1/29/2024,,State Museum
457,Denali Park,Installed,6/12/2024,,Denali Park Headquarters
458,Anchorage Lab,Ready to Deploy,,,
459,Anchorage Lab,Ready to Deploy,,,
460,Soldotna,Installed,5/13/2024,,Soldotna Senior Center
461,Ninilchik,Installed,5/13/2024,,Ninilchik Community Library
462,Anchorage - CCSC,Installed,6/18/2024,,Campbell Creek Science Center
463,Anchorage – Garden,Installed,4/16/2024,,Audit pod
464,Homer,Installed,5/14/2024,,Kenai Peninsula College Pioneer Hall
465,Seward,Installed,6/5/2024,,Qutekcak Native Tribe
466,Glennallen,Installed,7/18/2024,,BLM Sensor
467,Talkeetna,Installed,7/1/2024,,Talkeetna Ranger Station
468,Big Lake,Installed,7/1/2024,,Big Lake Public Library
469,Anchorage Lab,Ready to Deploy,,Tyonek,
470,Willow,Installed,8/6/2024,,Sunshine Community Health Center
471,Anchorage – Garden,Installed,10/3/2023,,Permanent pod
649,Chickaloon,Installed,8/7/2024,,Native Village of Chickaloon
650,Anchorage Lab,Ready to Deploy,,,
651,Fairbanks – Ncore,Installed,4/11/2024,,Permanent pod
652,Fairbanks – Ncore,Installed,4/11/2024,,Audit pod
653,Fairbanks Lab,Ready to Deploy,,Cordova,
654,Nome,Installed,5/23/2024,,KNOM Building
655,Fairbanks Lab,Ready to Deploy,,Nenana,
656,Anchorage Lab,Ready to Deploy,,Copper Center,
657,Palmer,Installed,8/6/2024,,Palmer Public Library
658,Fairbanks Lab,Ready to Deploy,,Yakutat,
659,Bethel,Installed,7/30/2024,,Needs taken down – No service
660,Kodiak,Installed,7/2/2024,,Kodiak Island Borough
662,Kotzebue,Installed,7/9/2024,,Maniilaq Association
663,Wasilla,Installed,8/6/2024,,Knik Tribe
664,Anchorage Lab,Ready to Deploy,,Sterling,
665,Juneau – Floyd Dryden,Installed,4/29/2024,,Permanent pod
666,Fairbanks Lab,Ready to Deploy,,QA Pod,
667,Fairbanks Lab,Ready to Deploy,,QA Pod,
668,Fairbanks Lab,Ready to Deploy,,QA Pod,
669,Fairbanks Lab,Ready to Deploy,,QA Pod,
670,Fairbanks Lab,Ready to Deploy,,QA Pod,
671,Fairbanks Lab,Ready to Deploy,,QA Pod,
672,Fairbanks Lab,Ready to Deploy,,QA Pod,
673,Fairbanks Lab,Ready to Deploy,,QA Pod,
674,Fairbanks Lab,Ready to Deploy,,QA Pod,
